City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,begoro,6.3871,-0.3774,24.57,78,55,1.28,GH,2024-2-10
79,bandon,51.7469,-8.7425,8.77,97,78,3.33,IE,2024-2-10
80,port mathurin,-19.6833,63.4167,26.98,78,96,12.52,MU,2024-2-10
81,kargil,34.5667,76.1,-14.15,38,1,0.51,IN,2024-2-10
82,guerrero negro,27.9769,-114.0611,14.18,69,12,6.21,MX,2024-2-10
83,kill devil hills,36.0307,-75.676,12.21,89,40,1.54,US,2024-2-10
84,tai'an,36.1853,117.12,7.36,46,62,2.12,CN,2024-2-10
85,tvoroyri,61.5556,-6.8111,4.87,56,100,12.76,FO,2024-2-10
86,selfoss,63.9331,-20.9971,-11.64,75,86,4.12,IS,2024-2-10
87,ribeira grande,38.5167,-28.7,17.65,100,75,8.75,PT,2024-2-10
88,whitehorse,60.7161,-135.0538,-6.22,86,20,10.29,CA,2024-2-10
89,mana,5.6592,-53.7767,25.54,83,52,4.49,GF,2024-2-10
90,red hill,33.9996,-79.2581,12.16,19,100,2.69,US,2024-2-10
91,kalmunai,7.4167,81.8167,28.34,66,49,5.75,LK,2024-2-10
92,nyurba,63.2842,118.3319,-25.34,97,100,1.45,RU,2024-2-10
93,tazacorte,28.629,-17.9293,19.54,98,40,3.13,ES,2024-2-10
94,klyuchi,52.2667,79.1667,-0.17,75,100,7.74,RU,2024-2-10
95,georgetown,5.4112,100.3354,32.96,66,20,6.17,MY,2024-2-10
96,thompson,55.7435,-97.8558,-16.91,78,100,2.57,CA,2024-2-10
97,invercargill,-46.4,168.35,9.45,80,99,4.92,NZ,2024-2-10
98,antsiranana,-12.2787,49.2917,30.42,79,40,2.06,MG,2024-2-10
99,molde,62.7375,7.1591,-9.09,73,0,5.14,NO,2024-2-10
100,nakhchivan,39.2089,45.4122,11.82,43,6,1.03,AZ,2024-2-10
101,mo i rana,66.3128,14.1428,-13.74,78,80,2.68,NO,2024-2-10
102,egilsstadir,65.2653,-14.3948,-8.05,86,100,1.03,IS,2024-2-10
103,taoudenni,22.6783,-3.9836,20.07,10,5,2.47,ML,2024-2-10
104,polyarnyy,69.1989,33.4478,-14.81,91,100,2.53,RU,2024-2-10
105,yellowknife,62.456,-114.3525,-23.71,77,0,3.6,CA,2024-2-10
106,laghouat,33.8,2.8651,12.05,55,92,8.55,DZ,2024-2-10
107,sassandra,4.95,-6.0833,27.3,81,12,1.69,CI,2024-2-10
108,fukuecho,32.6881,128.8419,9.2,61,75,3.09,JP,2024-2-10
109,holualoa,19.6228,-155.9522,21.91,83,100,3.6,US,2024-2-10
110,west island,-12.1568,96.8225,30.99,66,8,5.66,CC,2024-2-10
111,chonchi,-42.6128,-73.8092,10.56,90,99,1.1,CL,2024-2-10
112,tiksi,71.6872,128.8694,-26.11,100,100,1.52,RU,2024-2-10
